12.5355 	EXP 	faces: size = array([1.04166667, 1.16666667])
12.5355 	EXP 	faces: image = 'same/069_C2_DV.jpg'
12.5355 	EXP 	faces: autoDraw = True
12.7683 	EXP 	New trial (rep=0, index=34): {'imageFile': 'same/081_C2_DV.jpg', 'corrAns': 'left', 'sameOrDiff': 'same', 'ori': 0}
12.7868 	DATA 	Keypress: right
12.7902 	EXP 	faces: autoDraw = False
12.7902 	EXP 	faces: ori = 0.0
12.7902 	EXP 	faces: size = array([1.04166667, 1.16666667])
12.7902 	EXP 	faces: image = 'same/081_C2_DV.jpg'
12.7902 	EXP 	faces: autoDraw = True
13.1033 	EXP 	New trial (rep=0, index=35): {'imageFile': 'different/261_254_L.jpg', 'corrAns': 'right', 'sameOrDiff': 'different', 'ori': 180}
13.1229 	DATA 	Keypress: right
13.1281 	EXP 	faces: autoDraw = False
13.1281 	EXP 	faces: ori = 180.0
13.1281 	EXP 	faces: size = array([1.04166667, 1.16666667])
13.1281 	EXP 	faces: image = 'different/261_254_L.jpg'
13.1281 	EXP 	faces: autoDraw = True
13.3695 	EXP 	New trial (rep=0, index=36): {'imageFile': 'same/075_DV_C2.jpg', 'corrAns': 'left', 'sameOrDiff': 'same', 'ori': 0}
13.3912 	DATA 	Keypress: left
13.3961 	EXP 	faces: autoDraw = False
13.3961 	EXP 	faces: ori = 0.0
13.3961 	EXP 	faces: size = array([1.04166667, 1.16666667])
13.3961 	EXP 	faces: image = 'same/075_DV_C2.jpg'
13.3961 	EXP 	faces: autoDraw = True
13.6199 	EXP 	New trial (rep=0, index=37): {'imageFile': 'same/025_C2_DV.jpg', 'corrAns': 'left', 'sameOrDiff': 'same', 'ori': 0}
13.6438 	DATA 	Keypress: right
13.6476 	EXP 	faces: autoDraw = False
13.6476 	EXP 	faces: ori = 0.0
13.6476 	EXP 	faces: size = array([1.04166667, 1.16666667])
13.6476 	EXP 	faces: image = 'same/025_C2_DV.jpg'
13.6476 	EXP 	faces: autoDraw = True
13.7691 	EXP 	New trial (rep=0, index=38): {'imageFile': 'different/116_067_R.jpg', 'corrAns': 'right', 'sameOrDiff': 'different', 'ori': 180}
13.7869 	DATA 	Keypress: left
13.7923 	EXP 	faces: autoDraw = False
13.7923 	EXP 	faces: ori = 180.0
13.7923 	EXP 	faces: size = array([1.04166667, 1.16666667])
13.7923 	EXP 	faces: image = 'different/116_067_R.jpg'
13.7923 	EXP 	faces: autoDraw = True
13.9699 	EXP 	New trial (rep=0, index=39): {'imageFile': 'different/143_254_R.jpg', 'corrAns': 'right', 'sameOrDiff': 'different', 'ori': 180}
13.9902 	DATA 	Keypress: right
13.9930 	EXP 	faces: autoDraw = False
13.9930 	EXP 	faces: ori = 180.0
13.9930 	EXP 	faces: size = array([1.04166667, 1.16666667])
13.9930 	EXP 	faces: image = 'different/143_254_R.jpg'
13.9930 	EXP 	faces: autoDraw = True
14.0537 	DATA 	Keypress: left
14.0639 	EXP 	faces: autoDraw = False
14.3117 	EXP 	window1: mouseVisible = True
